Textbox13,status,name_th,address_th,address_additional_th,amphur_th,province_th,region_th,contact_name,contact_admin,contact_email,owner_name,telephone,fax,name_eng,address_eng,amphur_eng,province_eng,region_eng,service_type,service_product_group,service_product_category,service_area,home_service,brand,working_day,working_time,service_center_for,receipt_job_via,conditional_selling,ar_code,ap_code,history_note,remarks,name,tambon_th
Search : ,Active,บริษัท ช้างการไฟฟ้า จำกัด,เลขที่ 2250-2251 หมู่ที่ 11ต.หนองไผ่ อ. หนองไผ่ จ.เพชรบูรณ์ 67140,,หนองไผ่,เพชรบูรณ์,เหนือ,,,changple@windowslive.com,คุณสุทธิศักดิ์ กฤษดาเดชากุล,"056-782036,056-781438",,"CHANG KANFAIFA CO., LTD.","2250-2251 MOO 11, NONG PHAI SUB-DISTRICT, NONG PHAI DISTRICT, PHETCHABUN PROVINCE 67140",Nong Phai,Phetchabun,,ศูนย์บริการและตัวแทนจำหน่าย,"HA,SHA,AIR","REFRIGERATOR,WASHER,BLENDERS(เครื่องปั่น),FAN,AIR COOLER(พัดลมไอเย็น),RICE COOKER,HOTPOT,HOTPLATE,WATER HEATER,MICRO WAVE,AIR CONDITION,Wall Type,Chest Freezer (ตู้แช่)",คุณประยูร สีโท,มี,TOSHIBA,จันทร์ - เสาร์,8.30 - 17.30,,E-Mail,20%,M8800351,M88003510001,ยกเลิก ​code เดิม ​code เดิมM90427870001 ร้านช้างการไฟฟ้า2250-2251 หมู่ 11 หนองไผ่ หนองไผ่ เพชรบูรณ์ 18000,,,หนองไผ่
Search : ,Active,สมศักดิ์อีเลคทรอนิกส์,59 ถ.บ้านใหม่ ต.ในเวียง อ.เมืองแพร่ จ.แพร่ 54000,,เมืองแพร่,แพร่,เหนือ,,คุณสายรุ้ง,sairung.j@hotmail.com,นายเสกสรร สิกขานุกูล,054-620165,054-620165,Somsak Electronics,59 Banmai Rd. T.Naiweang A.Muang Prea Phrae 54000,Mueang Phrae,Phrae,,ศูนย์บริการ,"AV,HA,SHA,AIR,*REPAIR","LCDTV,REFRIGERATOR,WASHER,AIR CONDITION",จ.แพร่,มี,ALL,จันทร์-เสาร์,08.00-17.00 น.,,E-Mail,20% เงินสด / มีเดีย 10%,2259,,"


14 พ.ค.55
รับ Mail แจ้งจากสาขาเชียงราย ขอยกเลิกสาขา
  16 ต.ค 55
แจ้งเปลี่ยนเมล์ จาก natiprada.j@hotmail.com เป็นsairung2526@hotmail.com


9 พ.ย. 55
แจ้งเปลี่ยน e-mail เดิมsairung.j@hotmail.com
 ","
 ",,ในเวียง
Search : ,Active,ศักดิ์ชัย โซลูชั่นส์ (บจก.),"170,170/10-/14 ถ.ยันตรกิจโกศล ต.ในเวียง อ.เมืองแพร่ จ.แพร่ 54000",,เมืองแพร่,แพร่,เหนือ,บ.ศักดิ์ชัยโซลูชั่น จก.,"คุณอุษณี 088-5164142
",servicesakchai@gmail.com;sakchaisolutions@gmail.com,นายศักดิ์ชัย โชติรัตนวิมล / น.ส ศุจิรา โชติรัตนวิมล กรรมการผู้จัดการ,054-621501-5,054-531875,"Sakchai Solutions Co., Ltd.","170,170/10-/14 Yantrakijkoson Rd.T.Naiweang A.Mueang Phrae 54000​",Mueang Phrae,Phrae,,ศูนย์บริการและตัวแทนจำหน่าย,"AV,HA,SHA,AIR,*REPAIR",,จ.แพร่ (รับลูกค้าที่ซื้อจากร้านเป็นหลัก ถ้าซื้อจากที่อื่น ต้องคุยก่อน),มี,ALL,จันทร์ - อาทิตย์,8.30-19.00 น.,"HITACHI,HAIER,PANASONIC,SHARP,SUMSUNG",E-Mail,20% เครดิตดีลเลอร์,2049,546,"เปลี่ยนแปลงอีเมล์
เดิมsakchaisolutions@gmail.com.
เปลี่ยนเป็น servicesakchai@gmail.com​
ศักดิ์ชัยโทรทัศน์เดิม","
รับลูกค้าที่ซื้อกับร้านก่อน
 ",,ในเวียง
Search : ,Active,ชุมอิเล็คทริค บจก.,470/2 ถ.เจริญสุข ต.ในเมือง อ.เมือง จ.กำแพงเพชร 62000,ตรงข้าม BIG C จ.กำแพงเพชร,เมืองกำแพงเพชร,กำแพงเพชร,เหนือ,,คุณสายธาร / คุณวิชชุดา,chumelectric@hotmail.com,วีระ เอื้อนจิตญานนท์ (081-6802970),055-716123; 096-670444,-,"Chum Electric Co.,Ltd",470/2 Charoeansuk Rd. T.Naimuang A.Mueang Kampang Phet 62000,Mueang Kamphaeng Phet,Kamphaeng Phet,,ศูนย์บริการและตัวแทนจำหน่าย,"AV,HA,SHA,AIR",,"ระยะทางไม่เกิน 40 กิโลเมตร , จ.กำแพงเพชร",มี,TOSHIBA,หยุดอาทิตย์ที่ 2 และ 4 ของเดือน,,,,20% เครดิตดีลเลอร์,2275,,"
10 ต.ค.55
โค๊ด ออก
11 ต.ค. 55
ส่ง จ.ม.แจ้งโค๊ด เริ่มทำธุรกรรม 15 ต.ค.55
26 ต.ค.55
เยี่ยม / พบคุณวีระ,คุณอนงค์ (ผจก.) อธิบายวิธีการเคลม



1/ feb/2023 เจ้าหน้าที่ Service ศูนย์บริการชุมอิเล็คทริค 1.มิ้น-เปรมิกา ศุภโชติจีรพรกุล 1.หมูแดง- อุษา เหลี่ยมวงศ์"," 
 
 ",,ในเมือง
Search : ,Active,สงวนชัย ไฮเท็ค (หจก.),1234 ม.2 ต.ท่ามะเขือ อ.คลองขลุง จ.กำแพงเพชร 62120,,คลองขลุง,กำแพงเพชร,เหนือ,,คุณอรธิรา ปิงทอง,scservice11@gmail.com;,,0 5586 3123 089-9619502,0 5586 3453,"Sanguanchai Hitech Co.,Ltd","1234 Moo 2 T.Thamakhuea, A.Khlong Khlung, Kamphaeng Phet 62120",Khlong Khlung,Kamphaeng Phet,,ศูนย์บริการและตัวแทนจำหน่าย,"AV,HA,SHA,AIR,*INSTALLATION,*REPAIR","LCDTV,REFRIGERATOR,WASHER,AIR CONDITION",ระยะโดยรอบ 20 กม.,มี,ALL,จันทร์ - อาทิตย์,8.00 - 18.00 น.,"HITACHI,LG,PANASONIC",E-Mail,20%,1962,2017,"28/11/18 ​คุณไพรินทร์ ศรีฐาน ผู้จัดการ

โทร.055-863123 / 089-9619500
ติดต่อคุณ ณฐิตา  แผนกสั่งซื้ออะไหล่
ติดต่อคุณ อรธิรา  แผนกเคลมอะไหล่
 ",​รับซ่อมได้ทั้งหมด แต่ขอเน้นลูกค้าที่ร้านเป็นหลักก่อน,,ท่ามะเขือ
Search : ,Active,พี.เค. อิเล็คทรอนิคส์ (ตาก),1/16-17-18 ถ.มหาดไทยบำรุง ต.หนองหลวง อ.เมืองตาก จ.ตาก 63000,แนบแผนที่ไว้,เมืองตาก,ตาก,เหนือ,,คุณสุวภา คำทิพย์,p.k.elec@hotmail.com,คุณดำรงศักดิ คำทิพย์,"055-511988,086-6800814, 089-2724563",055-511988,P.K. Electronic,"1/16-17-18 Mahadthaibumrung Rd., Nong Luang, Mueang Tak, Tak, 63000",Mueang Tak,Tak,์North,ศูนย์บริการ,"AV,HA,AIR,*INSTALLATION,*REPAIR","LCDTV,REFRIGERATOR,WASHER,RICE COOKER,AIR CONDITION","จ.ตาก , จ.กำแพงเพชร อ.พรานกระต่าย อ. โกสัมพีนคร",มี,ALL,จันทร์ - เสาร์,8.30-17.30,"PANASONIC,ACONATIC",E-Mail,20%,2551,2924,"​20-10-2017 แจ้งยกเลิก  055-540727,
แจ้งเปลี่ยนที่อยู่ :  เดิม 3/19 ถ.จอมพล ต.หนองหลวง อ.เมืองตาก จ.ตาก 63000 เป็น 1/16-17-18 ถนนมหาดไทยบำรุง ต.หนองหลวง อ.เมืองตาก จ.ตาก 63000",,,หนองหลวง
Search : ,Active,แม่สอดบุญโรจน์ (หจก.),4/8 ซอยร่วมจิต ถ.ประสาทวิถี ต.แม่สอด อ.แม่สอด จ.ตาก 63110,แนบแผนที่ไว้,แม่สอด,ตาก,เหนือ,,คุณนัสราภรณ์ ปันเงิน ( ยุ้ย ) เคลม 081-7546183 / คุณบอม (ผู้ช่วยผู้จัดการ แผนกบริการ) นายจิราพงษ์ ธรรมสกุลพานิช (ผู้จัดการแผนกบริการ),boonrot.tvservice@gmail.com,นายวิโรจน์ เลิศวิจิตรทรัพย์,"055-532-112 , 094-634-2910","055-533-648, 055-533-421",Maesot Boonrot Limited Partnership,"4/8 Soi Roamchit., Prasertvith Rd., Maesot, Tak 63110",Mae Sot,Tak,,ศูนย์บริการและตัวแทนจำหน่าย,"HA,SHA,AIR,*INSTALLATION,*REPAIR","RICE COOKER,HOTPOT,HOTPLATE,MICRO WAVE,AIR CONDITION,Wall Type,Celling&Floor Type,Cassette Type,Floor Standing,Water Dispenser(ตู้กดน้ำร้อนเย็น)",เฉพาะลูกค้าที่ซือจากร้าน,มี,MIDEA,จันทร์ - อาทิตย์,8.30-18.30,,E-Mail,10% Midea,2799,waiting,"​คุณบอม 094-7263328
 
  เรียน แผนกบริการและฝ่ายขาย
                เนื่องด้วยตอนนี้ ทางลูกค้า หจก.แม่สอดบุญโรจน์     MAESOD BOONROT LTD.,PART  CODE 2799    มี2 CODEในระบบORACLEทางแผนกการเงินจะทำการINACTIVE DEALER 2727ที่เคยเปิด
 
เป็นลูกค้าTASSแล้วให้มาใช",​บริการเฉพาะลูกค้าที่ซื้อจากร้าน,,แม่สอด
Search : ,Active,ตุนเซอร์วิส,เลขที่ 63 หมู่ที่ 7 บ้านร้องแง ตำบลวรนคร อำเภอปัว จังหวัดน่าน 55120,,ปัว,น่าน,เหนือ,,"คุณวิชัย 080-7310309 , 088-1654045",tunak59@gmail.com,คุณวิชัย ตุนาค,"080-7310309, 088-1654045, 091-8812969",-,Tunservice,63 Moo 7 Ban Rong Ngae T.Woranakhon A.Pua Nan,Pua,Nan,,ศูนย์บริการ,"AV,HA,SHA,AIR,*INSTALLATION,*REPAIR","LCDTV,REFRIGERATOR,WASHER,AIR COOLER(พัดลมไอเย็น),AIR CONDITION,Wall Type,Celling&Floor Type,Cassette Type,Floor Standing,Portable Air,Water Dispenser(ตู้กดน้ำร้อนเย็น)",จ.น่าน,มี,ALL,จันทร์ - เสาร์,09.00-17.00 น.,"HITACHI,HAIER,PANASONIC,PHILIPS,SHARP,TLC,BEKO",iService System,20%,M9042370,M90423700001,"​29/07/2021 ศูนย์แจ้งเปลี่ยนที่อยู่
เนื่องจากทางศูนย์บริการตุนเซอร์วิส  ได้ย้ายที่ทำการใหม่  จากเดิม “เลขที่ 107 หมู่ที่ 6 บ้านสวนดอก  ตำบลวรนคร  อำเภอปัว  จังหวัดน่าน  55120”  เป็น  “ เเลขที่  63  หมู่ที่ 7 บ้านร้องแง  ตำบลวรนคร อำเภอปัว  จังหวัดน่าน  55120  โทร.  080-7310309, 088-1654045, 091-8812969 ",,,
Search : ,Active,เอส. พี. พาณิชย์,292/1 หมู่ที่ 7 หมู่บ้านบ้านดอกบัว ต.ท่าวังทอง อ.เมืองพะเยา จ.พะเยา 56000,,เมืองพะเยา,พะเยา,เหนือ,,คุณกัลยา / คุณพัชรี 081-7847981,spsat.you@gmail.com,นางสาวกัลยา ดงพยัพ,064-6348934,-,S.P.PANICH,"292/1 Moo 7 Bandokbua Village, Tha Wang Thong, Mueang Phayao, Phayao 56000",Mueang Phayao,Phayao,,ศูนย์บริการ,"HA,AIR","REFRIGERATOR,REFRIGERATOR(R600a),WASHER,DISH WASHER,FAN,AIR COOLER(พัดลมไอเย็น),HOTPLATE,WATER HEATER,MICRO WAVE,AIR CONDITION,Wall Type,Water Dispenser(ตู้กดน้ำร้อนเย็น),Chest Freezer (ตู้แช่)",จ.พะเยา ศูนย์บริการเอส.พี.พาณิชย์ขอเพิ่มพื้นที่ให้บริการ จังหวัดลำปาง,มี,TOSHIBA,จันทร์ - เสาร์,8.30-17.00,"HAIER,TLC","iService System,E-Mail",20%,M8900168,M89001680001,​ยกเลิก code เดิม M0003800 /M00038000001,,,ท่าวังทอง
Search : ,Active,ไทยพานิชมาร์เก็ตติ้ง (บจก.),379/6 ม.7 ถ.พิษณุโลก-หล่มสัก ต.สมอแข อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,,เมืองพิษณุโลก,พิษณุโลก,เหนือ,บ. ไทยพานิชมาร์เก็ตติ้ง จก.,"วิไลลักษณ์ 055-378-666 ต่อ 119,130, คุณวุฒิ",servicethaimart@hotmail.com,นายสมรัตน์ ตั้งศรีสุข,"055-378666 ต่อ 119, 082-7758004 , 085-6517545",055-224519,"Thaipanich Marketing Co.,Ltd",379/6 Moo.7 Pissanulok-Lomsak Rd. T.Samorkea A.Muang Pissanulok 65000​,Mueang Phitsanulok,Phitsanulok,,ศูนย์บริการและตัวแทนจำหน่าย,"AV,HA,SHA,AIR,*REPAIR",,,มี,ALL,จันทร์ - อาทิตย์,8.30 - 17.30 น.,,E-Mail,"20%,เงินสด",1055,364,​โชติกา087-5240262  082-7758004 ผู้จัดการศูนย์บริการ,"เพิ่มสาขา 00006 ลงในใบกำกับภาษี/ใบเพิ่มหนี้ ใบลดหนี้ ใบวางบิล และใบเสร็จรับเงิน​
รับเฉพาะลูกค้าที่ซื้อจากร้าน",,สมอแข
Search : ,Active,ราชาเซอร์วิส (ร้าน),260-261 ถ.พุทธบูชา อ.เมือง จ.พิษณุโลก 65000,,เมืองพิษณุโลก,พิษณุโลก,เหนือ,,"คุณอลิศรา 081-8872845,055-258835",alisara.racha@gmail.com,นายเอกชัย อนุรักษ์ศักดิ์,"0 5525 8835 , 0 5525 9861",0 5522 5086,Racha Service,"260-261 Phutthabucha Road, Nai Mueang, Mueang Phitsanulok, Phitsanulok 65000",Mueang Phitsanulok,Phitsanulok,,ศูนย์บริการและตัวแทนจำหน่าย,"AV,HA,SHA",,อ.เมือง,มี,TOSHIBA,จันทร์ - อาทิตย์ (หยุดทุกสัปดาห์ที่ 4 ของเดือน),9.00-18.00 น.,,E-Mail,20% เครดิตดีลเลอร์,1958,,,"
 มีบริการHome Service
 ",,
